ID,rodata,data,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado,pontos_mandante,chutes_mandante,chutes_no_alvo_mandante,posse_de_bola_mandante,passes_mandante,precisao_passes_mandante,faltas_mandante,cartao_amarelo_mandante,cartao_vermelho_mandante,impedimentos_mandante,escanteios_mandante,pontos_visitante,chutes_visitante,chutes_no_alvo_visitante,posse_de_bola_visitante,passes_visitante,precisao_passes_visitante,faltas_visitante,cartao_amarelo_visitante,cartao_vermelho_visitante,impedimentos_visitante,escanteios_visitante
41,3,13/4/2003,16:00,Vitoria,Vasco,,,,,Vitoria,Barradão,2,1,BA,RJ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,3,13/4/2003,16:00,Criciuma,Sao Paulo,,,,,-,Heriberto Hulse,1,1,SC,SP,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
43,3,13/4/2003,16:00,Fortaleza,Sao Caetano,,,,,-,Presidente Vargas,1,1,CE,SP,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
44,3,13/4/2003,16:00,Juventude,Coritiba,,,,,Juventude,Alfredo Jaconi,2,1,RS,PR,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,3,13/4/2003,16:00,Guarani,Parana,,,,,Guarani,Brinco de Ouro,2,0,SP,PR,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,3,13/4/2003,16:00,Goias,Gremio,,,,,-,Serra Dourada,1,1,GO,RS,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
47,3,13/4/2003,18:00,Cruzeiro,Ponte Preta,,,,,Cruzeiro,Mineirão Cruzeiro,3,0,MG,SP,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,3,13/4/2003,18:00,Flamengo,Fluminense,,,,,Flamengo,Maracanã Flamengo,4,1,RJ,RJ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,4,16/4/2003,20:30,Bahia,Juventude,,,,,Bahia,Fonte Nova,3,1,BA,RS,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,4,16/4/2003,20:30,Gremio,Vitoria,,,,,Gremio,Olímpico,2,1,RS,BA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,4,16/4/2003,20:30,Atletico-MG,Guarani,,,,,Atletico-MG,Mineirão Atlético,3,2,MG,SP,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,4,16/4/2003,20:30,Figueirense,Athletico-PR,,,,,-,Orlando Scarpelli,1,1,SC,PR,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30,4,16/4/2003,20:30,Ponte Preta,Criciuma,,,,,-,Moisés Lucarelli,1,1,SP,SC,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,4,16/4/2003,21:40,Sao Caetano,Flamengo,,,,,-,Anacleto Campanella,1,1,SP,RJ,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32,4,16/4/2003,21:40,Vasco,Corinthians,,,,,-,São Januário,2,2,RJ,SP,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
33,4,16/4/2003,21:40,Coritiba,Cruzeiro,,,,,Cruzeiro,Couto Pereira,3,4,PR,MG,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
34,4,17/4/2003,20:30,Fluminense,Internacional,,,,,Fluminense,Maracanã Fluminense,3,1,RJ,RS,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,4,17/4/2003,20:30,Sao Paulo,Fortaleza,,,,,Sao Paulo,Morumbi,3,1,SP,CE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,4,17/4/2003,20:30,Parana,Goias,,,,,Parana,Pinheirão,3,1,PR,GO,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,12,18/4/2003,20:30,Flamengo,Cruzeiro,,,,,Flamengo,Maracanã Flamengo,3,0,RJ,MG,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,5,19/4/2003,16:00,Bahia,Atletico-MG,,,,,Atletico-MG,Fonte Nova,2,4,BA,MG,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
50,5,19/4/2003,16:00,Sao Caetano,Gremio,,,,,-,Anacleto Campanella,1,1,SP,RS,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51,5,19/4/2003,18:00,Flamengo,Santos,,,,,Santos,Maracanã Flamengo,0,2,RJ,SP,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
52,5,20/4/2003,16:00,Sao Paulo,Vasco,,,,,Sao Paulo,Morumbi,3,1,SP,RJ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,5,20/4/2003,16:00,Internacional,Corinthians,,,,,Internacional,Beira Rio,2,1,RS,SP,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,5,20/4/2003,16:00,Criciuma,Guarani,,,,,Criciuma,Heriberto Hulse,1,0,SC,SP,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,5,20/4/2003,16:00,Juventude,Vitoria,,,,,-,Alfredo Jaconi,1,1,RS,BA,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
56,5,20/4/2003,16:00,Fortaleza,Athletico-PR,,,,,Fortaleza,Presidente Vargas,1,0,CE,PR,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,5,20/4/2003,16:00,Ponte Preta,Paysandu,,,,,-,Moisés Lucarelli,4,4,SP,PA,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
58,5,20/4/2003,18:00,Cruzeiro,Goias,,,,,Cruzeiro,Mineirão Cruzeiro,4,1,MG,GO,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,5,20/4/2003,18:00,Fluminense,Parana,,,,,-,Maracanã Fluminense,0,0,RJ,PR,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
60,5,21/4/2003,20:30,Coritiba,Figueirense,,,,,Coritiba,Couto Pereira,1,0,PR,SC,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,6,26/4/2003,16:00,Atletico-MG,Coritiba,,,,,Coritiba,Mineirão Atlético,1,2,MG,PR,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
62,6,26/4/2003,16:00,Parana,Bahia,,,,,Parana,Pinheirão,3,1,PR,BA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,6,26/4/2003,16:00,Vitoria,Internacional,,,,,Internacional,Barradão,0,3,BA,RS,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
64,6,26/4/2003,18:00,Guarani,Cruzeiro,,,,,-,Brinco de Ouro,1,1,SP,MG,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
65,6,27/4/2003,16:00,Corinthians,Flamengo,,,,,-,Pacaembu,1,1,SP,RJ,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
66,6,27/4/2003,16:00,Goias,Juventude,,,,,Goias,Serra Dourada,7,0,GO,RS,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,6,27/4/2003,16:00,Figueirense,Ponte Preta,,,,,-,Orlando Scarpelli,0,0,SC,SP,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
68,6,27/4/2003,16:00,Santos,Fortaleza,,,,,Santos,Vila Belmiro,4,0,SP,CE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,6,27/4/2003,16:00,Gremio,Fluminense,,,,,Fluminense,Olímpico,0,1,RS,RJ,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
70,6,27/4/2003,16:00,Athletico-PR,Criciuma,,,,,Athletico-PR,Arena da Baixada,4,2,PR,SC,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,6,27/4/2003,18:00,Paysandu,Sao Paulo,,,,,Paysandu,Mangueirão,5,2,PA,SP,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,6,27/4/2003,18:00,Vasco,Sao Caetano,,,,,Vasco,São Januário,1,0,RJ,SP,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,7,3/5/2003,16:00,Flamengo,Vitoria,,,,,Flamengo,Maracanã Flamengo,2,1,RJ,BA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
